Fishing Trade Area,Class
Fishing Trade Area,Trade Area
Fishing Vessel,Class
Fishing Vessel,Ship
Fuel,Class
GMDSSRadioCertificate,Class
GMDSSRadioCertificate,Radio Operator Certificate
GMDSSSeaArea,Class
GMDSSSeaArea,Trade Area
Gas Tanker,Class
Gas Tanker,Tanker
General Trade Area,Class
General Trade Area,Trade Area
High Speed Passenger Craft,Class
High Speed Passenger Craft,Passenger Ship
High Speed Craft Course,Class
High Speed Craft Course,Course
IGFCourse,Class
IGFCourse,Course
Instructor Course,Class
Instructor Course,Course
Legal Document,Class
Leisure Boat,Class
Leisure Boat,Ship
Leisure Skipper Course,Class
Leisure Skipper Course,Course
Limited Safety Course,Class
Limited Safety Course,Course
Master,Class
Master,Deck Officer Position
Mate,Class
Mate,Deck Officer Position
Medical Certificate,Class
Medical Certificate,Person Certificate
Medical Course,Class
Medical Course,Course
National Certificate,Class
National Certificate,Certificate
Navigator Course,Class
Navigator Course,Course
Norske Skip,Class
Off Shore Unit,Class
Off Shore Unit,Ship
Oil Chemical Tanker,Class
Oil Chemical Tanker,Tanker
Oil Tanker,Class
Oil Tanker,Tanker
Oiler ship,Class
Oiler ship,Engine Crew Position
Onboard Training,Class
Onboard Training,Competancy
Ordinary Seafarer,Class
Ordinary Seafarer,Deck Crew Position
Other Cargo,Class
Other Cargo,Cargo Vessel
Other Passenger Ship,Class
Other Passenger Ship,Passenger Ship
PP,Class
PP,Competancy
Passenger Ship,Class
Passenger Ship,Ship
Person Certificate,Class
Person Certificate,Certificate
Pilot,Class
Pilot,Deck Officer Position
Pleasure Craft Certificate,Class
Pleasure Craft Certificate,Person Certificate
Polar Certificate,Class
Polar Certificate,Vessel Certificate
Polar Course,Class
Polar Course,Course
Position,Class
Professional Competence Officer Course,Class
Professional Competence Officer Course,Navigator Course
Proficiency Certificate,Class
Proficiency Certificate,Person Certificate
Radio Operator Certificate,Class
Radio Operator Certificate,Person Certificate
Radiooperator ship,Class
Radiooperator ship,Position
Regulation,Class
Regulation,Legal Document
Requirement,Class
Rescue Boat Course,Class
Rescue Boat Course,Course
Right,Class
Right,BLANK NODE
Roro Passenger Ferry,Class
Roro Passenger Ferry,Passenger Ship
Safety Course,Class
Safety Course,Course
Seagoing Service Requirement,Class
Seagoing Service Requirement,Requirement
Seagoing Service Requirement,BLANK NODE
Seagoing Service Requirement,BLANK NODE
Seagoing Service Requirement,BLANK NODE
Second Engineer,Class
Second Engineer,Engine Officer Position
Ship,Class
Ship,BLANK NODE
Ship,BLANK NODE
Ship,BLANK NODE
Ship,BLANK NODE
Ship Electrician Apprentice,Class
Ship Electrician Apprentice,Electrical Crew Position
Ship Security Course,Class
Ship Security Course,Course
Short Range Radio Certificate,Class
Short Range Radio Certificate,Radio Operator Certificate
Small Fishing Vessel,Class
Tanker,Class
Tanker,Cargo Vessel
Tankerman Course,Class
Tankerman Course,Course
Trade Area,Class
VSK,Class
BLANK NODE,Class
VSK,Advanced Safety Course
VSKR,Class
BLANK NODE,Class
VSKR,Advanced Safety Course
VSKR,BLANK NODE
Vessel Certificate,Class
Vessel Certificate,Certificate
Vessel Requirement,Class
Vessel Requirement,Requirement
Vessel Requirement,BLANK NODE
